"index","Name","GID"
"187","Comedy, Romance, Musical","187"
"188","Drama, Romance, Family","188"
"189","Drama, Musical, Mystery","189"
"190","Comedy, Fantasy","190"
"191","Comedy, Musical, Drama","191"
"192","Drama, Horror","192"
"193","Action, Musical, Drama","193"
"194","Romance, Musical, Drama","194"
"195","Comedy, Crime, Mystery","195"
"196","Musical, Drama, Thriller","196"
"197","Thriller, Musical, Mystery","197"
"198","Romance, Musical, Action","198"
"199","Action, Crime, Sci-Fi","199"
"200","Horror, Mystery, Thriller","200"
"201","Action, Fantasy, Sci-Fi","201"
"202","Action, Crime, Horror","202"
"203","Action, Comedy, Mystery","203"
"204","Drama, Comedy, Family","204"
"205","Mystery, Drama, Thriller","205"
"206","Adventure, Horror, Romance","206"
"207","Adventure, Comedy, Family","207"
"208","Fantasy","208"
"209","Comedy, Drama, Thriller","209"
"210","Musical, Fantasy","210"
"211","Comedy, Mystery, Crime","211"
"212","Romance, Action, Crime","212"
"213","Musical, Family, Romance","213"
"214","Drama, Family, Comedy","214"
"215","Drama, Music, Romance","215"
"216","Musical","216"
"217","Action, Fantasy, Thriller","217"
"218","Animation, History","218"
"219","Family, Drama","219"
"220","Animation, Adventure, Family","220"
"221","Action, Drama, Family","221"
"222","Drama, Fantasy","222"
"223","Mystery, Sci-Fi, Thriller","223"
"224","Fantasy, Family","224"
"225","Drama, Family, History","225"
"226","Fantasy, Thriller","226"
"227","Family, Romance","227"
"228","Drama, Fantasy, Musical","228"
"229","Crime, Drama, Fantasy","229"
"230","Action, Musical, Mystery","230"
"231","Musical, Mystery, Drama","231"
"232","Drama, Crime, Family","232"
"233","Family, Musical, Romance","233"
"234","Comedy, Crime, Romance","234"
"235","Comedy, Romance, Drama","235"
"236","Musical, Action, Drama","236"
"237","Adventure, Fantasy, Sci-Fi","237"
"238","Drama, History, Musical","238"
"239","Fantasy, Thriller, Action","239"
"240","Romance, Musical, Comedy","240"
"241","Action, Adventure, Family","241"
"242","Drama, Adventure, Action","242"
"243","Crime, Romance, Thriller","243"
"244","Musical, Drama, Crime","244"
"245","Comedy, Family","245"
"246","Comedy, Romance, Thriller","246"
"247","Fantasy, Mystery, Romance","247"
"248","Action, Drama, Comedy","248"
"249","Comedy, Drama, Mystery","249"
"250","Drama, Family, Thriller","250"
"251","Action, Crime, Mystery","251"
"252","Musical, Romance, Thriller","252"
"253","Crime, Musical, Romance","253"
"254","Fantasy, Musical, Romance","254"
"255","Musical, Thriller","255"
"256","Comedy, Drama, History","256"
"257","Drama, Family, Mystery","257"
"258","History, Musical, Romance","258"
"259","Crime, Romance","259"
"260","Drama, Family, Fantasy","260"
"261","Horror, Drama, Mystery","261"
"262","Family, Fantasy","262"
"263","Drama, Crime, Mystery","263"
"264","Action, Family","264"
"265","Comedy, War","265"
"266","Mystery","266"
"267","Drama, Action, Comedy","267"
"268","Family, Mystery","268"
"269","Horror, Romance","269"
"270","Mystery, Sci-Fi","270"
"271","Action, Horror, Sci-Fi","271"
"272","Romance, Sci-Fi, Thriller","272"
"273","Drama, Fantasy, Thriller","273"
"274","Action, War","274"
"275","Adventure, Drama, Sci-Fi","275"
"276","Thriller, Action, Crime","276"
"277","Comedy, Crime, Family","277"
"278","Mystery, Romance, Musical","278"
"279","Biography, History","279"
"280","Drama, Comedy","280"
"281","Musical, Drama","281"
"282","History","282"
"283","Animation, Comedy, Drama","283"
"284","Crime, Drama, Action","284"
"285","Family, Musical, Drama","285"
"286","Thriller, Mystery","286"
"287","Action, Drama, Western","287"
"288","Comedy, Family, Fantasy","288"
"289","Crime, Mystery, Romance","289"
"290","Biography","290"
"291","Action, Thriller, Romance","291"
"292","Mystery, Musical, Romance","292"
"293","Crime, Horror, Mystery","293"
"294","Action, Fantasy","294"
"295","Action, Horror, Mystery","295"
"296","Musical, Thriller, Mystery","296"
"297","Action, Adventure, Musical","297"
"298","Crime, Drama, Horror","298"
"299","Drama, Action, Musical","299"
"300","Animation, Drama, Musical","300"
"301","Thriller, Action","301"
"302","Family, Romance, Drama","302"
"303","Fantasy, Horror","303"
"304","Adventure, History","304"
"305","Family, Romance, Comedy","305"
"306","Adventure, Musical, Romance","306"
"307","Family, Adventure, Fantasy","307"
"308","Musical, Mystery, Thriller","308"
"309","Null","309"
"310","Comedy, Drama, Sci-Fi","310"
"311","Comedy, Musical, Family","311"
"312","Action, Drama, Crime","312"
"313","Adventure, Mystery, Thriller","313"
"314","Comedy, Action","314"
"315","Comedy, Musical, Action","315"
"316","Comedy, Sci-Fi","316"
"317","Crime, Drama, Family","317"
"318","Drama, Crime","318"
"319","Animation, Adventure","319"
"320","Biography, Crime, Thriller","320"
"321","Adventure, Comedy, Fantasy","321"
"322","Comedy, Horror, Musical","322"
"323","Animation, Adventure, Fantasy","323"
"324","Biography, Drama, War","324"
"325","Animation, Drama, Adventure","325"
"326","Drama, Action","326"
"327","Drama, Mystery, Sci-Fi","327"
