"index","MID","PID","ID"
"285","tt2979920","nm0440604","285"
"286","tt0347473","nm0007134","286"
"287","tt5121000","nm0576554","287"
"288","tt2317337","nm1999473","288"
"289","tt5165344","nm4819186","289"
"290","tt2905838","nm1893457","290"
"291","tt0296574","nm0890060","291"
"292","tt5465370","nm1436693","292"
"293","tt0473367","nm1063072","293"
"294","tt6405126","nm0576554","294"
"295","tt4467262","nm0012541","295"
"296","tt2976182","nm6379626","296"
"297","tt0488414","nm0080235","297"
"298","tt3709344","nm0576554","298"
"299","tt2126282","nm1069826","299"
"300","tt2356180","nm1018493","300"
"301","tt0352314","nm1437189","301"
"302","tt0499375","nm0711745","302"
"303","tt6272828","nm0063357","303"
"304","tt1185442","nm1028832","304"
"305","tt4232066","nm4332182","305"
"306","tt5456546","nm0223522","306"
"307","tt7617988","nm0994603","307"
"308","tt0254481","nm0004363","308"
"309","tt4864932","nm1287649","309"
"310","tt0242519","nm0698184","310"
"311","tt2635622","nm0890060","311"
"312","tt0116630","nm0788171","312"
"313","tt1077248","nm1437189","313"
"314","tt5997928","nm3672712","314"
"315","tt1274295","nm0080235","315"
"316","tt6471054","nm1941973","316"
"317","tt0164538","nm0711745","317"
"318","tt2372678","nm2831530","318"
"319","tt1049405","nm0230286","319"
"320","tt2855648","nm1999473","320"
"321","tt0449999","nm0424103","321"
"322","tt1954598","nm1834891","322"
"323","tt2609218","nm1022024","323"
"324","tt0222012","nm0352032","324"
"325","tt5286444","nm0534879","325"
"326","tt0995740","nm0440604","326"
"327","tt2359810","nm2399862","327"
"328","tt2229848","nm0223522","328"
"329","tt2168910","nm1223294","329"
"330","tt0272736","nm0463316","330"
"331","tt0439662","nm0463316","331"
"332","tt1375789","nm0122216","332"
"333","tt1639426","nm0003939","333"
"334","tt6299040","nm8623146","334"
"335","tt4169250","nm3109770","335"
"336","tt1091229","nm0012541","336"
"337","tt1433810","nm1444479","337"
"338","tt5697870","nm3826513","338"
"339","tt4940456","nm1018493","339"
"340","tt0151150","nm0451257","340"
"341","tt5477608","nm1223910","341"
"342","tt7142506","nm1402184","342"
"343","tt0376127","nm0788171","343"
"344","tt4276752","nm4069612","344"
"345","tt0117878","nm0041928","345"
"346","tt5638500","nm4819186","346"
"347","tt0463345","nm1662693","347"
"348","tt6613812","nm6252943","348"
"349","tt0114142","nm0766020","349"
"350","tt4333674","nm2862844","350"
"351","tt4865436","nm1959662","351"
"352","tt5156746","nm3218978","352"
"353","tt0315642","nm2349060","353"
"354","tt2980794","nm1665004","354"
"355","tt0109117","nm0764316","355"
"356","tt1610452","nm1834891","356"
"357","tt0118983","nm0007181","357"
"358","tt0102258","nm0007181","358"
"359","tt4807830","nm2771884","359"
"360","tt3802576","nm1633551","360"
"361","tt5472758","nm2414127","361"
"362","tt1572311","nm0007134","362"
"363","tt5472374","nm1541119","363"
"364","tt4874298","nm0305558","364"
"365","tt1714832","nm1964923","365"
"366","tt0106333","nm0122216","366"
"367","tt3410408","nm1723225","367"
"368","tt2424988","nm3758453","368"
"369","tt3696192","nm0222150","369"
"370","tt2181931","nm1903006","370"
"371","tt5743656","nm4415009","371"
"372","tt0346457","nm0576559","372"
"373","tt2072227","nm1962313","373"
"374","tt6143422","nm4244515","374"
"375","tt6173826","nm2903076","375"
"376","tt0215132","nm0004570","376"
"377","tt4906960","nm0527453","377"
"378","tt0294662","nm0348495","378"
"379","tt1411956","nm0113819","379"
"380","tt1230165","nm0438461","380"
"381","tt1428459","nm5648841","381"
"382","tt3175038","nm1887138","382"
"383","tt3483712","nm2260731","383"
"384","tt1694542","nm2399862","384"
"385","tt8223250","nm9742183","385"
"386","tt0100095","nm0054744","386"
"387","tt4552546","nm7884640","387"
"388","tt5742874","nm0890060","388"
"389","tt0075143","nm0002160","389"
"390","tt4552486","nm1210614","390"
"391","tt0195231","nm0890060","391"
"392","tt7647198","nm5859905","392"
"393","tt5983262","nm3745186","393"
"394","tt6265988","nm1293225","394"
"395","tt1020937","nm1887138","395"
"396","tt5982852","nm1378015","396"
"397","tt0425055","nm0001355","397"
"398","tt2614722","nm3573399","398"
"399","tt2140465","nm2399862","399"
"400","tt1043451","nm1018493","400"
"401","tt0451850","nm0657505","401"
"402","tt1580704","nm0440604","402"
"403","tt0052954","nm0244870","403"
"404","tt3679000","nm1150656","404"
"405","tt3483646","nm2168111","405"
"406","tt5178120","nm0802084","406"
"407","tt0066070","nm0004292","407"
"408","tt1266583","nm1723225","408"
"409","tt6791730","nm3746062","409"
"410","tt0758053","nm0080220","410"
"411","tt7695014","nm0223606","411"
"412","tt4271730","nm1022024","412"
"413","tt1985981","nm2539328","413"
"414","tt1291465","nm0422552","414"
"415","tt1244093","nm0528337","415"
"416","tt1836912","nm2349060","416"
"417","tt4979082","nm0422552","417"
"418","tt2258337","nm1442514","418"
"419","tt1954206","nm0527453","419"
"420","tt1667838","nm1159647","420"
"421","tt3717068","nm4058904","421"
"422","tt0079221","nm0611531","422"
"423","tt4332114","nm5581835","423"
"424","tt0058547","nm0004292","424"
"425","tt8484590","nm9872536","425"
"426","tt0800956","nm1397301","426"
"427","tt0107311","nm0007131","427"
"428","tt2049630","nm4189373","428"
"429","tt2677064","nm0352032","429"
"430","tt2476154","nm0409791","430"
"431","tt5235880","nm1150656","431"
"432","tt0248185","nm0006765","432"
"433","tt1144804","nm1287649","433"
"434","tt2804026","nm1387177","434"
"435","tt0795434","nm1150959","435"
"436","tt2309764","nm1460159","436"
"437","tt5207116","nm3963684","437"
"438","tt1949548","nm1055105","438"
"439","tt4088588","nm0474398","439"
"440","tt0405507","nm1397301","440"
"441","tt3495000","nm1224879","441"
"442","tt8581230","nm3349777","442"
"443","tt3019620","nm2885983","443"
"444","tt0248617","nm0007131","444"
"445","tt6712014","nm1805326","445"
"446","tt5943306","nm0451326","446"
"447","tt5752374","nm8254923","447"
"448","tt2187153","nm1436693","448"
"449","tt0109206","nm0001408","449"
"450","tt0470869","nm0754818","450"
"451","tt0432047","nm0890060","451"
"452","tt0323013","nm1027719","452"
"453","tt1183946","nm1913302","453"
"454","tt2198235","nm1193115","454"
"455","tt0150992","nm0080220","455"
"456","tt3742284","nm2480204","456"
"457","tt8427036","nm1224879","457"
"458","tt1918886","nm1145655","458"
"459","tt1499201","nm1893457","459"
"460","tt6467738","nm8737501","460"
"461","tt0330082","nm0004072","461"
"462","tt2699840","nm1805430","462"
"463","tt3836958","nm2669564","463"
"464","tt1918965","nm1887138","464"
"465","tt6275262","nm3962028","465"
"466","tt3017412","nm1354763","466"
"467","tt5764024","nm1249945","467"
"468","tt3794302","nm4894328","468"
"469","tt3209826","nm0155027","469"
"470","tt4949324","nm1363374","470"
"471","tt1101665","nm1885534","471"
"472","tt0403935","nm0222150","472"
"473","tt5290620","nm1207750","473"
"474","tt2423132","nm3060331","474"
"475","tt0220832","nm0542498","475"
"476","tt4559046","nm2678319","476"
"477","tt5775220","nm1242277","477"
"478","tt0249371","nm0007144","478"
"479","tt2372222","nm0618898","479"
"480","tt0382383","nm0711745","480"
"481","tt3142232","nm1287649","481"
"482","tt3678938","nm4264671","482"
"483","tt6926486","nm1201747","483"
"484","tt8175968","nm2410557","484"
"485","tt0240200","nm0576548","485"
"486","tt0303785","nm0576548","486"
"487","tt4990516","nm4492920","487"
"488","tt8698956","nm2669831","488"
"489","tt2224317","nm0003939","489"
"490","tt0806088","nm1349318","490"
"491","tt7172308","nm9154176","491"
"492","tt6537508","nm8784283","492"
"493","tt1017456","nm0122216","493"
"494","tt8324474","nm9793365","494"
"495","tt5020726","nm0151511","495"
"496","tt0346723","nm0592583","496"
"497","tt4979110","nm0592803","497"
"498","tt1395054","nm0527453","498"
"499","tt0195002","nm0890060","499"
"500","tt1825801","nm1913302","500"
"501","tt0139876","nm0471452","501"
"502","tt5686868","nm8116349","502"
"503","tt4022278","nm1665978","503"
"504","tt0248012","nm0006659","504"
"505","tt5005684","nm6436658","505"
"506","tt0356982","nm0440604","506"
"507","tt5227468","nm7752309","507"
"508","tt0995031","nm0698184","508"
"509","tt3173910","nm5932553","509"
"510","tt6711660","nm1310829","510"
"511","tt0498351","nm2803372","511"
"512","tt3142688","nm1223294","512"
"513","tt0085743","nm0787453","513"
"514","tt5954088","nm0080409","514"
"515","tt0318275","nm0616114","515"
"516","tt5502766","nm3386152","516"
"517","tt0105271","nm0711745","517"
"518","tt0109555","nm0007181","518"
"519","tt2246724","nm2955107","519"
"520","tt3483612","nm1887138","520"
"521","tt3415692","nm6165215","521"
"522","tt1230448","nm0698184","522"
"523","tt0104561","nm0451257","523"
"524","tt1120897","nm1892252","524"
"525","tt1558578","nm1200832","525"
"526","tt0456144","nm0386246","526"
"527","tt4190220","nm1363374","527"
"528","tt0222024","nm1147556","528"
"529","tt0053126","nm0496746","529"
"530","tt0488798","nm0063357","530"
"531","tt0457802","nm0080235","531"
"532","tt1708453","nm0698184","532"
"533","tt6117702","nm1287649","533"
"534","tt0451919","nm1665004","534"
"535","tt1434447","nm0024912","535"
"536","tt0920464","nm2480204","536"
"537","tt2275802","nm0422552","537"
"538","tt0415908","nm1433566","538"
"539","tt0116308","nm0576548","539"
"540","tt2301155","nm0348495","540"
"541","tt0119861","nm0007131","541"
"542","tt0418362","nm0223522","542"
