"index","Name","LID"
"140","Pattaya, Chonburi, Thailand","140"
"141","Assam, India","141"
"142","Surrey, England, UK","142"
"143","New York, USA","143"
"144","Southall, Middlesex, England, UK","144"
"145","Banff National Park, Alberta, Canada","145"
"146","Sun City, South Africa","146"
"147","Uttar Pradesh, India","147"
"148","Casa Colvale, Goa, India","148"
"149","30th Street Station - 3001 Market Street, Philadelphia, Pennsylvania, USA","149"
"150","Albert Memorial, Kensington Gardens, Kensington, London, England, UK","150"
"151","Apta Railway Station, Maharashtra, India","151"
"152","Turkey","152"
"153","Jamshedpur, Jharkhand, India","153"
"154","Forbidden City, Dongcheng District, Beijing, China","154"
"155","Bassein Fort, Vasai, Palghar, Maharashtra, India","155"
"156","Cortlandt Alley, Chinatown, Manhattan, New York City, New York, USA","156"
"157","Mahabat Maqbara, Junagadh, Gujarat, India","157"
"158","Santiago, Chile","158"
"159","Hans Raj College, University of Delhi, New Delhi, Delhi, India","159"
"160","Brenner's Park-Hotel & Spa, Baden-Baden, Baden-Württemberg, Germany","160"
"161","Alton Towers, Farley, Staffordshire, England, UK","161"
"162","Koh-e-Fiza, Bhopal, Madhya Pradesh, India","162"
"163","Argentina","163"
"164","Essel Studios, Mumbai, Maharashtra, India","164"
"165","Hutatma Chowk, Mumbai, India","165"
"166","Romania","166"
"167","Alexandria Hotel - 501 S. Spring Street, Downtown, Los Angeles, California, USA","167"
"168","Nepal","168"
"169","Darling Harbour, Sydney, New South Wales, Australia","169"
"170","Ooty Lake, India","170"
"171","Libya","171"
"172","Iver, Buckinghamshire, England, UK","172"
"173","Hotel Tara Palace, Chandni Chowk, Old Delhi, Central Delhi, Delhi, India","173"
"174","Aryanivas, Kalvadevi, Mumbai, Maharashtra, India","174"
"175","Modern Studio, Andheri, Mumbai, Maharashtra, India","175"
"176","Mumbai","176"
"177","Moscow, Russia","177"
"178","Bhopal, India","178"
"179","Chennai, Tamil Nadu, India","179"
"180","Hyderabad, Telangana, India","180"
"181","Laxmi Vilas Palace, Vadodara, Gujarat, India","181"
"182","Thailand","182"
