"index","MID","title","year","rating","num_votes"
"112","tt0115641","Beavis and Butt-Head Do America","1996","6.8","47517"
"113","tt3863552","Bajrangi Bhaijaan","2015","8.0","60969"
"114","tt3043252","Parched","2015","7.6","3875"
"115","tt4129428","Jagga Jasoos","2017","6.4","7530"
"116","tt1849718","Agneepath","2012","7.0","19962"
"117","tt3001638","Mary Kom","2014","6.8","8962"
"118","tt4434004","Udta Punjab","2016","7.8","21805"
"119","tt7469726","Shaadi Mein Zaroor Aana","2017","7.8","8455"
"120","tt0891592","Street Fighter: The Legend of Chun-Li","2009","3.7","21488"
"121","tt0375611","Black","2005","8.2","30225"
"122","tt7690638","Soorma","2018","7.5","2850"
"123","tt5662932","Raman Raghav 2.0","2016","7.3","9769"
"124","tt0432637","Krrish","2006","6.4","15508"
"125","tt4387040","Airlift","2016","8.1","46484"
"126","tt0238936","Devdas","2002","7.6","33456"
"127","tt6692354","Ittefaq","2017","7.2","7561"
"128","tt4559006","Ae Dil Hai Mushkil","2016","5.8","17713"
"129","tt6972140","Blackmail","2018","7.0","5538"
"130","tt5571734","Pink","2016","8.2","30231"
"131","tt2436516","Go Goa Gone","2013","6.6","10180"
"132","tt4430212","Drishyam","2015","8.3","51007"
"133","tt1185420","Dostana","2008","6.5","12486"
"134","tt0367495","Anbe Sivam","2003","8.8","12285"
"135","tt5842616","Veere Di Wedding","2018","3.1","9901"
"136","tt6071752","Dil Juunglee","2018","4.5","177"
"137","tt1833673","Dhoom:3","2013","5.4","39578"
"138","tt6108090","Secret Superstar","2017","8.0","14820"
"139","tt1280558","A Wednesday","2008","8.2","66187"
"140","tt2215477","Goliyon Ki Rasleela Ram-Leela","2013","6.4","16086"
"141","tt2408040","B.A. Pass","2012","6.5","2967"
"142","tt4832640","Sultan","2016","7.1","32109"
"143","tt5785170","Toilet - Ek Prem Katha","2017","7.3","13815"
"144","tt7981260","Garbage","2018","4.2","213"
"145","tt0112870","Dilwale Dulhania Le Jayenge","1995","8.2","56133"
"146","tt1327035","Dev.D","2009","8.0","25358"
"147","tt7618184","Mulk","2018","6.1","10354"
"148","tt0457655","Efter brylluppet","2006","7.8","28878"
"149","tt5956100","Tiger Zinda Hai","2017","6.1","17804"
"150","tt0347304","Kal Ho Naa Ho","2003","8.0","56080"
